par_id,location,x,y
1,home,-401.2279,-22.4795
1,target,-218.8869,149.927
2,home,-408.115,7.6637
2,target,-229.2416,187.2176
3,home,-409.8536,1.485
3,target,-230.8911,177.7375
4,home,-410.7366,6.5123
4,target,-228.8212,184.2917
5,home,-399.5837,6.8384
5,target,-220.226,185.0957
6,home,-403.6598,6.7193
6,target,-223.7898,185.9088
7,home,-403.9938,6.7817
7,target,-224.3926,184.266
8,home,-402.153,5.5786
8,target,-222.8598,182.3975
9,home,-400.5351,-3.3279
9,target,-214.5926,165.3726
10,home,-409.3522,23.4765
10,target,-223.7052,194.8853
11,home,-402.0731,12.8534
11,target,-220.754,188.8466
12,home,-402.8476,20.5964
12,target,-220.3751,195.2142
13,home,-404.9103,12.5062
13,target,-224.824,191.0204
14,home,-394.5532,9.9434
14,target,-216.7289,186.1907
15,home,-403.5759,28.0959
15,target,-213.2548,202.0044
16,home,-392.0912,12.2687
16,target,-213.2273,189.0768